Id,IndicatorCode,SpatialDim,SpatialValueCode,TimeDim_year,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
28473408,MDG_0000000025,AFG,9,2007,98,97.97639,2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473409,MDG_0000000025,AFG,9,2014,98.7,98.70992,2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473410,MDG_0000000025,AFG,9,2021,98.4,98.42998,2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473411,MDG_0000000025,AFG,21,2007,99.3,99.277,2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473412,MDG_0000000025,AFG,21,2014,99.2,99.22211,2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473413,MDG_0000000025,AFG,21,2021,98.9,98.91144,2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473414,MDG_0000000025,AFG,30,2007,97.5,97.51571,2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473415,MDG_0000000025,AFG,30,2014,99.7,99.70994,2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473416,MDG_0000000025,AFG,30,2021,99.9,99.89148,2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473417,MDG_0000000025,AFG,34,2007,40.1,40.11605,2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473418,MDG_0000000025,AFG,34,2014,69.1,69.11703,2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473419,MDG_0000000025,AFG,34,2021,82,82.00382,2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473420,MDG_0000000025,AGO,35,2007,69.7,69.72237,2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
28473421,MDG_0000000025,AGO,35,2014,82,82.04934,2022-05-09T15:22:09Z,2008-2014,1/1/2008,12/31/2014
28473422,MDG_0000000025,AGO,35,2021,89.8,89.81313,2022-05-09T15:22:09Z,2015-2021,1/1/2015,12/31/2021
28473423,MDG_0000000025,AGO,53,2007,98.3,98.32789,2022-05-09T15:22:09Z,2001-2007,1/1/2001,12/31/2007
